"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Brentford","Premier League","Mark Flekken","NED","GK","31-126",1993,7,7,630,7,13,1.86,45,33,71.1,3,1,3,0,0,0,0,0,0,NA,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
2025,"Brest","Ligue 1","Marco Bizot","NED","GK","33-221",1991,7,7,630,7,13,1.86,28,16,64.3,3,0,4,3,42.9,4,3,0,1,0,"https://fbref.com/en/players/3d214e5f/Marco-Bizot"
2025,"Brighton","Premier League","Jason Steele","ENG","GK","34-060",1990,2,2,180,2,1,0.5,4,3,75,2,0,0,1,50,0,0,0,0,NA,"https://fbref.com/en/players/28300a16/Jason-Steele"
2025,"Brighton","Premier League","Bart Verbruggen","NED","GK","22-060",2002,5,5,450,5,9,1.8,20,11,65,1,3,1,1,20,2,2,0,0,0,"https://fbref.com/en/players/cf134113/Bart-Verbruggen"
2025,"Cagliari","Serie A","Simone Scuffet","ITA","GK","28-139",1996,7,7,630,7,11,1.57,32,21,71.9,1,3,3,1,14.3,2,2,0,0,0,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet"
2025,"Celta Vigo","La Liga","Vicente Guaita","ESP","GK","37-281",1987,5,5,450,5,6,1.2,18,12,66.7,2,1,2,1,20,0,0,0,0,NA,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
2025,"Celta Vigo","La Liga","Iván Villar","ESP","GK","27-100",1997,4,4,360,4,9,2.25,18,10,50,2,0,2,0,0,1,0,1,0,100,"https://fbref.com/en/players/cde52ef5/Ivan-Villar"
2025,"Chelsea","Premier League","Robert Sánchez","ESP","GK","26-334",1997,7,7,630,7,8,1.14,40,31,80,4,2,1,2,28.6,1,0,1,0,100,"https://fbref.com/en/players/6a713852/Robert-Sanchez"
2025,"Como","Serie A","Emil Audero","ITA","GK","27-273",1997,4,4,360,4,9,2.25,18,9,66.7,2,1,1,0,0,3,3,0,0,0,"https://fbref.com/en/players/649b01d8/Emil-Audero"
2025,"Como","Serie A","Pepe Reina","ESP","GK","42-047",1982,3,3,270,3,5,1.67,13,8,61.5,0,1,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e358587b/Pepe-Reina"
2025,"Crystal Palace","Premier League","Dean Henderson","ENG","GK","27-219",1997,7,7,630,7,10,1.43,31,21,67.7,0,3,4,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson"
2025,"Dortmund","Bundesliga","Gregor Kobel","SUI","GK","26-316",1997,6,6,540,6,11,1.83,26,15,65.4,3,1,2,2,33.3,2,2,0,0,0,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
2025,"Eint Frankfurt","Bundesliga","Kauã Santos","BRA","GK","21-189",2003,4,3,315,3.5,6,1.71,27,21,81.5,2,1,0,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/c7c50cb5/Kaua-Santos"
2025,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","34-101",1990,3,3,225,2.5,3,1.2,10,7,70,2,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
2025,"Empoli","Serie A","Devis Vásquez","COL","GK","26-158",1998,7,7,630,7,4,0.57,22,17,81.8,2,4,1,4,57.1,1,0,1,0,100,"https://fbref.com/en/players/fac1f795/Devis-Vasquez"
2025,"Espanyol","La Liga","Joan García","ESP","GK","23-166",2001,9,9,810,9,13,1.44,56,42,78.6,3,1,5,1,11.1,2,1,1,0,50,"https://fbref.com/en/players/87b498b0/Joan-Garcia"
2025,"Everton","Premier League","Jordan Pickford","ENG","GK","30-224",1994,7,7,630,7,15,2.14,34,18,55.9,1,2,4,1,14.3,1,0,1,0,100,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
2025,"Fiorentina","Serie A","David de Gea","ESP","GK","33-345",1990,4,4,360,4,5,1.25,22,15,77.3,2,1,1,1,25,2,0,2,0,100,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
2025,"Fiorentina","Serie A","Pietro Terracciano","ITA","GK","34-223",1990,3,3,270,3,3,1,13,10,76.9,0,3,0,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
2025,"Freiburg","Bundesliga","Noah Atubolu","GER","GK","22-145",2002,4,4,360,4,4,1,11,7,63.6,3,0,1,2,50,0,0,0,0,NA,"https://fbref.com/en/players/dbd1b101/Noah-Atubolu"
2025,"Freiburg","Bundesliga","Florian Müller","GER","GK","26-339",1997,2,2,180,2,3,1.5,5,2,60,1,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/cbac6ec9/Florian-Muller"
2025,"Fulham","Premier League","Bernd Leno","GER","GK","32-227",1992,7,7,630,7,8,1.14,29,21,72.4,3,2,2,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
2025,"Genoa","Serie A","Pierluigi Gollini","ITA","GK","29-213",1995,7,7,630,7,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2025,"Getafe","La Liga","David Soria","ESP","GK","31-196",1993,9,9,810,9,7,0.78,24,17,75,1,5,3,3,33.3,1,1,0,0,0,"https://fbref.com/en/players/8f8c6934/David-Soria"
2025,"Girona","La Liga","Paulo Gazzaniga","ARG","GK","32-289",1992,9,9,810,9,12,1.33,32,18,62.5,3,3,3,3,33.3,2,0,2,0,100,"https://fbref.com/en/players/63d17038/Paulo-Gazzaniga"
2025,"Gladbach","Bundesliga","Moritz Nicolas","GER","GK","26-362",1997,3,3,270,3,4,1.33,11,7,63.6,1,0,2,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/226ddf9d/Moritz-Nicolas"
2025,"Gladbach","Bundesliga","Jonas Omlin","SUI","GK","30-281",1994,3,3,270,3,6,2,21,14,71.4,1,0,2,1,33.3,1,0,1,0,100,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
2025,"Heidenheim","Bundesliga","Kevin Müller","GER","GK","33-216",1991,6,6,540,6,8,1.33,17,9,58.8,3,0,3,3,50,1,1,0,0,0,"https://fbref.com/en/players/f256f213/Kevin-Muller"
2025,"Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","28-240",1996,7,7,630,7,12,1.71,33,21,66.7,3,0,4,2,28.6,2,1,0,1,0,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo"
2025,"Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","34-137",1990,6,6,540,6,16,2.67,38,21,60.5,1,1,4,0,0,2,1,1,0,50,"https://fbref.com/en/players/47064058/Oliver-Baumann"
2025,"Holstein Kiel","Bundesliga","Timon Weiner","GER","GK","25-273",1999,6,6,540,6,19,3.17,44,26,61.4,0,2,4,0,0,2,2,0,0,0,"https://fbref.com/en/players/1fb2d1b0/Timon-Weiner"
2025,"Inter","Serie A","Yann Sommer","SUI","GK","35-305",1988,7,7,630,7,9,1.29,30,20,73.3,4,2,1,2,28.6,2,1,1,0,50,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
2025,"Ipswich Town","Premier League","Arijanet Muric","KVX","GK","25-345",1998,6,6,540,6,12,2,33,21,66.7,0,4,2,1,16.7,1,1,0,0,0,"https://fbref.com/en/players/99aa1a84/Arijanet-Muric"
2025,"Ipswich Town","Premier League","Christian Walton","ENG","GK","28-343",1995,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c666574f/Christian-Walton"
2025,"Juventus","Serie A","Michele Di Gregorio","ITA","GK","27-082",1997,5,5,450,5,1,0.2,5,4,100,2,3,0,4,80,1,1,0,0,0,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio"
2025,"Juventus","Serie A","Mattia Perin","ITA","GK","31-342",1992,2,2,180,2,0,0,5,5,100,1,1,0,2,100,0,0,0,0,NA,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
2025,"Las Palmas","La Liga","Jasper Cillessen","NED","GK","35-178",1989,7,7,630,7,13,1.86,36,23,69.4,0,3,4,0,0,4,2,1,1,33.3,"https://fbref.com/en/players/04ac8285/Jasper-Cillessen"
2025,"Las Palmas","La Liga","Dinko Horkaš","CRO","GK","25-221",1999,2,2,180,2,4,2,8,3,50,0,0,2,0,0,1,0,1,0,100,"https://fbref.com/en/players/8fafc04d/Dinko-Horkas"
2025,"Lazio","Serie A","Ivan Provedel","ITA","GK","30-214",1994,7,7,630,7,11,1.57,25,14,64,4,1,2,0,0,2,2,0,0,0,"https://fbref.com/en/players/277da414/Ivan-Provedel"
2025,"Le Havre","Ligue 1","Arthur Desmas","FRA","GK","30-193",1994,7,7,630,7,15,2.14,40,24,65,2,0,5,1,14.3,2,1,1,0,50,"https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas"
2025,"Lecce","Serie A","Wladimiro Falcone","ITA","GK","29-188",1995,7,7,630,7,12,1.71,31,19,67.7,1,2,4,2,28.6,2,2,0,0,0,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone"
2025,"Leganés","La Liga","Marko Dmitrović","SRB","GK","32-267",1992,3,3,270,3,2,0.67,11,9,90.9,0,3,0,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic"
2025,"Leganés","La Liga","Juan Soriano","ESP","GK","27-055",1997,6,6,540,6,7,1.17,25,19,72,1,2,3,1,16.7,0,0,0,0,NA,"https://fbref.com/en/players/5512b1a9/Juan-Soriano"
2025,"Leicester City","Premier League","Mads Hermansen","DEN","GK","24-098",2000,7,7,630,7,12,1.71,44,33,75,1,3,3,1,14.3,1,1,0,0,0,"https://fbref.com/en/players/c924b17d/Mads-Hermansen"
2025,"Lens","Ligue 1","Brice Samba","FRA","GK","30-175",1994,7,7,630,7,4,0.57,26,22,92.3,2,5,0,4,57.1,2,2,0,0,0,"https://fbref.com/en/players/60d90c55/Brice-Samba"
2025,"Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","34-328",1989,5,5,450,5,9,1.8,23,15,65.2,3,2,0,0,0,1,1,0,0,0,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky"
2025,"Leverkusen","Bundesliga","Matej Kovar","CZE","GK","24-153",2000,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/bc67a0e1/Matej-Kovar"
2025,"Lille","Ligue 1","Lucas Chevalier","FRA","GK","22-346",2001,7,7,630,7,8,1.14,29,21,75.9,4,1,2,3,42.9,1,1,0,0,0,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier"
2025,"Liverpool","Premier League","Alisson","BRA","GK","32-015",1992,6,6,528,5.9,2,0.34,17,15,88.2,5,0,1,3,50,0,0,0,0,NA,"https://fbref.com/en/players/7a2e46a8/Alisson"
2025,"Liverpool","Premier League","Vitezslav Jaros","CZE","GK","23-086",2001,1,0,12,0.1,0,0,1,1,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/12bb4d6a/Vitezslav-Jaros"
2025,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","25-329",1998,1,1,90,1,0,0,6,6,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
2025,"Lyon","Ligue 1","Lucas Perri","BRA","GK","26-312",1997,7,7,630,7,12,1.71,40,28,70,3,1,3,2,28.6,0,0,0,0,NA,"https://fbref.com/en/players/5dbd461a/Lucas-Perri"
2025,"Mainz 05","Bundesliga","Robin Zentner","GER","GK","29-355",1994,6,6,540,6,10,1.67,37,27,75.7,2,2,2,1,16.7,1,1,0,0,0,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner"
2025,"Mallorca","La Liga","Dominik Greif","SVK","GK","27-194",1997,6,6,540,6,7,1.17,25,18,72,2,1,3,1,16.7,0,0,0,0,NA,"https://fbref.com/en/players/30061f53/Dominik-Greif"
2025,"Mallorca","La Liga","Leo Román","ESP","GK","24-103",2000,3,3,270,3,1,0.33,13,12,92.3,2,1,0,2,66.7,0,0,0,0,NA,"https://fbref.com/en/players/924ff27e/Leo-Roman"
2025,"Manchester City","Premier League","Ederson","BRA","GK","31-061",1993,7,7,630,7,8,1.14,22,15,68.2,5,2,0,1,14.3,1,1,0,0,0,"https://fbref.com/en/players/3bb7b8b4/Ederson"
2025,"Manchester Utd","Premier League","André Onana","CMR","GK","28-198",1996,7,7,630,7,8,1.14,27,18,70.4,2,2,3,4,57.1,1,0,1,0,100,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana"
2025,"Marseille","Ligue 1","Gerónimo Rulli","ARG","GK","32-150",1992,7,7,630,7,8,1.14,32,22,75,4,2,1,1,14.3,2,0,2,0,100,"https://fbref.com/en/players/625c144a/Geronimo-Rulli"
2025,"Milan","Serie A","Mike Maignan","FRA","GK","29-106",1995,7,7,630,7,9,1.29,27,18,66.7,3,2,2,2,28.6,1,0,1,0,100,"https://fbref.com/en/players/fcb38f57/Mike-Maignan"
2025,"Monaco","Ligue 1","Philipp Köhn","SUI","GK","26-198",1998,7,7,630,7,4,0.57,18,14,83.3,6,1,0,3,42.9,1,1,0,0,0,"https://fbref.com/en/players/ff74841d/Philipp-Kohn"
2025,"Montpellier","Ligue 1","Dimitry Bertaud","COD","GK","26-133",1998,3,3,270,3,8,2.67,16,8,56.3,1,0,2,0,0,1,1,0,0,0,"https://fbref.com/en/players/380a15e2/Dimitry-Bertaud"
2025,"Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","33-174",1991,4,4,360,4,13,3.25,25,12,52,0,1,3,0,0,1,1,0,0,0,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
2025,"Monza","Serie A","Semuel Pizzignacco","ITA","GK","23-046",2001,3,3,270,3,2,0.67,7,5,71.4,0,2,1,1,33.3,0,0,0,0,NA,"https://fbref.com/en/players/4f537cf7/Semuel-Pizzignacco"
2025,"Monza","Serie A","Stefano Turati","ITA","GK","23-042",2001,4,4,360,4,7,1.75,18,11,61.1,0,2,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/bf168004/Stefano-Turati"
2025,"Nantes","Ligue 1","Alban Lafont","FRA","GK","25-268",1999,7,7,630,7,8,1.14,27,20,77.8,2,3,2,2,28.6,2,2,0,0,0,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
2025,"Napoli","Serie A","Elia Caprile","ITA","GK","23-053",2001,3,2,235,2.6,1,0.38,4,3,75,2,0,0,2,100,0,0,0,0,NA,"https://fbref.com/en/players/97d7afbd/Elia-Caprile"
2025,"Napoli","Serie A","Alex Meret","ITA","GK","27-209",1997,5,5,395,4.4,4,0.91,13,9,76.9,3,1,1,2,40,1,1,0,0,0,"https://fbref.com/en/players/9413b19f/Alex-Meret"
2025,"Newcastle Utd","Premier League","Nick Pope","ENG","GK","32-181",1992,7,7,630,7,7,1,37,31,81.1,3,3,1,2,28.6,0,0,0,0,NA,"https://fbref.com/en/players/4b40d9ca/Nick-Pope"
2025,"Nice","Ligue 1","Marcin Bułka","POL","GK","25-013",1999,7,7,630,7,7,1,37,31,83.8,2,3,2,2,28.6,1,1,0,0,0,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka"
2025,"Nott'ham Forest","Premier League","Matz Sels","BEL","GK","32-234",1992,7,7,630,7,6,0.86,25,19,80,2,4,1,2,28.6,1,1,0,0,0,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
2025,"Osasuna","La Liga","Sergio Herrera","ESP","GK","31-134",1993,9,9,810,9,14,1.56,38,25,63.2,4,3,2,2,22.2,0,0,0,0,NA,"https://fbref.com/en/players/a4995f48/Sergio-Herrera"
2025,"Paris S-G","Ligue 1","Gianluigi Donnarumma","ITA","GK","25-235",1999,5,5,450,5,4,0.8,15,11,80,4,1,0,1,20,1,1,0,0,0,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma"
2025,"Paris S-G","Ligue 1","Matvei Safonov","RUS","GK","25-235",1999,2,2,180,2,2,1,6,4,83.3,1,1,0,0,0,1,1,0,0,0,"https://fbref.com/en/players/d97b252e/Matvei-Safonov"
2025,"Parma","Serie A","Leandro Chichizola","ARG","GK","34-204",1990,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/8d957256/Leandro-Chichizola"
2025,"Parma","Serie A","Zion Suzuki","JPN","GK","22-057",2002,5,5,450,5.8,7,1.4,27,20,74.1,1,3,2,1,20,0,0,0,0,NA,"https://fbref.com/en/players/51e1f4f5/Zion-Suzuki"
2025,"RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","34-164",1990,6,6,540,6,2,0.33,25,22,92,4,2,0,5,83.3,1,0,1,0,100,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi"
2025,"Rayo Vallecano","La Liga","Augusto Batalla","ARG","GK","28-170",1996,5,5,450,5,4,0.8,16,12,75,2,3,0,1,20,0,0,0,0,NA,"https://fbref.com/en/players/fc627681/Augusto-Batalla"
2025,"Rayo Vallecano","La Liga","Cárdenas","ESP","GK","27-203",1997,4,4,360,4,5,1.25,12,7,58.3,1,1,2,1,25,0,0,0,0,NA,"https://fbref.com/en/players/e1846dde/Cardenas"
2025,"Real Madrid","La Liga","Thibaut Courtois","BEL","GK","32-159",1992,8,8,720,8,6,0.75,19,14,68.4,5,3,0,3,37.5,0,0,0,0,NA,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois"
2025,"Real Madrid","La Liga","Andriy Lunin","UKR","GK","25-249",1999,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin"
2025,"Real Sociedad","La Liga","Álex Remiro","ESP","GK","29-207",1995,9,9,810,9,8,0.89,30,22,86.7,2,3,4,4,44.4,4,4,0,0,0,"https://fbref.com/en/players/374ee424/Alex-Remiro"
2025,"Reims","Ligue 1","Yehvann Diouf","FRA","GK","24-336",1999,7,7,630,7,10,1.43,37,27,73,4,2,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf"
2025,"Rennes","Ligue 1","Steve Mandanda","FRA","GK","39-203",1985,7,7,630,7,11,1.57,29,18,62.1,2,1,4,2,28.6,1,0,1,0,100,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda"
2025,"Roma","Serie A","Mile Svilar","SRB","GK","25-051",1999,7,7,630,7,5,0.71,25,20,84,2,4,1,3,42.9,1,1,0,0,0,"https://fbref.com/en/players/bcf5058a/Mile-Svilar"
2025,"Saint-Étienne","Ligue 1","Gautier Larsonneur","FRA","GK","27-237",1997,7,7,630,7,18,2.57,39,22,64.1,2,1,4,1,14.3,4,4,0,0,0,"https://fbref.com/en/players/b49729cb/Gautier-Larsonneur"
2025,"Sevilla","La Liga","Ørjan Nyland","NOR","GK","34-037",1990,9,9,810,9,10,1.11,37,28,75.7,3,3,3,3,33.3,1,1,0,0,0,"https://fbref.com/en/players/bdedffac/Orjan-Nyland"
2025,"Southampton","Premier League","Alex McCarthy","ENG","GK","34-319",1989,2,2,180,2,2,1,9,7,77.8,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/36c2ca73/Alex-McCarthy"
