"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","24-018",2000,9,9,810,9,13,1.44,32,18,62.5,1,3,5,3,33.3,2,1,1,0,50,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili"
2025,"Valladolid","La Liga","Karl Jakob Hein","EST","GK","22-187",2002,9,9,810,9,19,2.11,49,31,61.2,1,2,6,3,33.3,0,0,0,0,NA,"https://fbref.com/en/players/aa81d8f8/Karl-Jakob-Hein"
2025,"Venezia","Serie A","Jesse Joronen","FIN","GK","31-210",1993,7,7,630,7,12,1.71,35,25,74.3,1,1,5,2,28.6,3,3,0,0,0,"https://fbref.com/en/players/7f66ea09/Jesse-Joronen"
2025,"Villarreal","La Liga","Diego Conde","ESP","GK","25-355",1998,9,9,810,9,17,1.89,43,27,60.5,5,2,2,0,0,1,0,0,1,NA,"https://fbref.com/en/players/4eae5bc4/Diego-Conde"
2025,"Werder Bremen","Bundesliga","Michael Zetterer","GER","GK","29-097",1995,6,6,540,6,12,2,26,14,53.8,2,2,2,1,16.7,0,0,0,0,NA,"https://fbref.com/en/players/9b688ae1/Michael-Zetterer"
2025,"West Ham","Premier League","Alphonse Areola","FRA","GK","31-233",1993,7,7,585,6.5,10,1.54,25,15,60,2,2,3,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/2f965a72/Alphonse-Areola"
2025,"West Ham","Premier League","Łukasz Fabiański","POL","GK","39-182",1985,1,0,45,0.5,1,2,3,2,66.7,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/9328b835/Lukasz-Fabianski"
2025,"Wolfsburg","Bundesliga","Kamil Grabara","POL","GK","25-283",1999,6,6,540,6,12,2,35,23,68.6,2,1,3,1,16.7,2,1,1,0,50,"https://fbref.com/en/players/62182b1d/Kamil-Grabara"
2025,"Wolves","Premier League","Sam Johnstone","ENG","GK","31-206",1993,5,5,450,5,13,2.6,32,19,65.6,0,1,4,0,0,2,2,0,0,0,"https://fbref.com/en/players/9e5708be/Sam-Johnstone"
2025,"Wolves","Premier League","José Sá","POR","GK","31-274",1993,2,2,180,2,8,4,14,6,42.9,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/903b6e8b/Jose-Sa"
