"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Fiorentina","Serie A","Yacine Adli","FRA","MF","24-080",2000,1.6,123,4,22,74,28,2,123,2,2,100,0,0,72,515,232,5,3,1,0,0,85,2,"https://fbref.com/en/players/26777636/Yacine-Adli"
2025,"Fiorentina","Serie A","Sofyan Amrabat","MAR","MF","28-057",1996,2,140,6,24,103,14,0,140,0,0,NA,0,NA,84,388,196,2,0,0,1,2,103,1,"https://fbref.com/en/players/5a2cb25d/Sofyan-Amrabat"
2025,"Fiorentina","Serie A","Antonín Barák","CZE","MF","29-319",1994,0.6,25,1,2,11,12,3,25,1,0,0,1,100,20,117,35,2,1,0,1,0,20,5,"https://fbref.com/en/players/01efac19/Antonin-Barak"
2025,"Fiorentina","Serie A","Lucas Beltrán","ARG","MF,FW","23-202",2001,1,51,0,1,31,20,5,51,0,0,NA,0,NA,39,180,61,1,1,0,0,2,47,9,"https://fbref.com/en/players/482d2bc3/Lucas-Beltran"
2025,"Fiorentina","Serie A","Alessandro Bianco","ITA","MF","22-016",2002,0.2,14,0,2,11,1,0,14,0,0,NA,0,NA,8,48,30,0,0,0,1,0,8,1,"https://fbref.com/en/players/d65cf468/Alessandro-Bianco"
2025,"Fiorentina","Serie A","Cristiano Biraghi","ITA","DF","32-046",1992,4.7,324,27,116,147,61,1,324,0,0,NA,0,NA,173,678,287,3,2,1,2,0,224,17,"https://fbref.com/en/players/9e1577aa/Cristiano-Biraghi"
2025,"Fiorentina","Serie A","Edoardo Bove","ITA","MF,FW","22-154",2002,4.2,160,6,36,85,39,9,160,5,3,60,1,20,88,402,138,3,5,0,3,5,110,11,"https://fbref.com/en/players/ae94a6c5/Edoardo-Bove"
2025,"Fiorentina","Serie A","Danilo Cataldi","ITA","MF","30-072",1994,4,202,13,50,125,29,3,202,2,1,50,1,50,117,702,279,6,8,1,2,1,137,2,"https://fbref.com/en/players/ba3d3bea/Danilo-Cataldi"
2025,"Fiorentina","Serie A","Andrea Colpani","ITA","MF,FW","25-159",1999,5.1,165,2,12,66,88,16,165,10,2,20,7,70,116,814,333,15,15,6,10,6,130,37,"https://fbref.com/en/players/6499048c/Andrea-Colpani"
2025,"Fiorentina","Serie A","Pietro Comuzzo","ITA","DF","19-240",2005,5.5,373,37,193,166,14,3,373,0,0,NA,0,NA,232,986,388,3,3,0,3,1,258,2,"https://fbref.com/en/players/5e3ecc35/Pietro-Comuzzo"
2025,"Fiorentina","Serie A","Dodô","BRA","DF","25-335",1998,7,427,21,113,181,143,15,427,31,13,41.9,11,35.5,249,1897,1092,36,24,5,13,7,261,46,"https://fbref.com/en/players/b5f7d10b/Dodo"
2025,"Fiorentina","Serie A","David de Gea","ESP","GK","33-345",1990,4,151,127,150,1,0,0,151,0,0,NA,0,NA,74,371,239,0,0,0,0,0,70,0,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
2025,"Fiorentina","Serie A","Robin Gosens","GER","DF","30-104",1994,5,298,13,77,142,80,8,298,3,2,66.7,1,33.3,145,570,307,4,4,0,5,2,189,11,"https://fbref.com/en/players/2d970560/Robin-Gosens"
2025,"Fiorentina","Serie A","Albert Guðmundsson","ISL","MF","27-124",1997,2.1,88,1,16,47,28,6,86,6,3,50,1,16.7,54,484,193,8,2,2,2,1,62,6,"https://fbref.com/en/players/b79858d5/Albert-Gudmundsson"
2025,"Fiorentina","Serie A","Jonathan Ikone","FRA","MF,FW","26-168",1998,1.2,45,1,7,14,25,5,45,7,3,42.9,4,57.1,31,343,235,7,3,1,0,1,37,14,"https://fbref.com/en/players/42eaa028/Jonathan-Ikone"
2025,"Fiorentina","Serie A","Michael Kayode","ITA","DF,FW","20-099",2004,0.2,17,3,7,7,3,1,17,3,3,100,0,0,6,50,26,2,0,1,0,2,6,1,"https://fbref.com/en/players/e19660a8/Michael-Kayode"
2025,"Fiorentina","Serie A","Moise Kean","ITA","FW","24-232",2000,6.9,175,7,9,81,89,32,174,20,11,55,7,35,98,561,225,6,5,3,20,14,134,29,"https://fbref.com/en/players/3d50bcdb/Moise-Kean"
2025,"Fiorentina","Serie A","Christian Kouamé","CIV","MF,FW","26-316",1997,3.3,164,5,17,80,67,14,164,9,2,22.2,5,55.6,91,439,191,5,4,2,6,10,120,23,"https://fbref.com/en/players/58e933d2/Christian-Kouame"
2025,"Fiorentina","Serie A","Rolando Mandragora","ITA","MF","27-110",1997,3,177,6,34,108,35,2,177,0,0,NA,0,NA,104,528,261,4,4,0,0,1,130,2,"https://fbref.com/en/players/c7259b83/Rolando-Mandragora"
2025,"Fiorentina","Serie A","Lucas Martínez Quarta","ARG","DF","28-160",1996,2.4,204,32,110,79,16,6,204,1,1,100,0,0,115,602,363,1,1,1,4,1,124,2,"https://fbref.com/en/players/3ec3c1c9/Lucas-Martinez-Quarta"
2025,"Fiorentina","Serie A","Fabiano Parisi","ITA","DF","23-343",2000,1.4,67,3,16,33,18,3,67,3,2,66.7,0,0,40,199,116,2,4,2,2,4,40,2,"https://fbref.com/en/players/0967845b/Fabiano-Parisi"
2025,"Fiorentina","Serie A","Marin Pongračić","CRO","DF","27-036",1997,1,59,10,31,26,2,0,59,1,1,100,0,0,28,214,110,0,1,0,0,0,36,0,"https://fbref.com/en/players/2a6cd437/Marin-Pongracic"
2025,"Fiorentina","Serie A","Luca Ranieri","ITA","DF","25-177",1999,5.4,342,39,195,137,13,4,342,6,2,33.3,4,66.7,194,1037,417,4,3,0,1,0,221,1,"https://fbref.com/en/players/8c63fae5/Luca-Ranieri"
2025,"Fiorentina","Serie A","Amir Richardson","MAR","MF","22-267",2002,1.4,85,4,26,50,9,3,85,5,4,80,0,0,47,257,117,1,1,0,1,3,54,4,"https://fbref.com/en/players/2b7cdb79/Amir-Richardson"
2025,"Fiorentina","Serie A","Riccardo Sottil","ITA","MF,FW","25-136",1999,0.7,34,0,4,10,20,6,34,2,0,0,1,50,24,258,173,8,2,6,0,1,28,8,"https://fbref.com/en/players/94816803/Riccardo-Sottil"
2025,"Fiorentina","Serie A","Pietro Terracciano","ITA","GK","34-223",1990,3,96,80,96,0,0,0,96,0,0,NA,0,NA,67,285,144,0,0,0,0,0,58,0,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
2025,"Freiburg","Bundesliga","Junior Adamu","AUT","FW","23-133",2001,5.5,172,4,18,81,77,23,172,7,6,85.7,1,14.3,89,367,152,4,2,1,17,7,109,23,"https://fbref.com/en/players/82e12fe7/Junior-Adamu"
2025,"Freiburg","Bundesliga","Noah Atubolu","GER","GK","22-145",2002,4,176,112,175,2,0,0,176,0,0,NA,0,NA,105,622,355,0,0,0,0,0,97,0,"https://fbref.com/en/players/dbd1b101/Noah-Atubolu"
2025,"Freiburg","Bundesliga","Eren Dinkçi","GER","MF","22-309",2001,2.8,144,1,13,70,65,7,144,7,3,42.9,4,57.1,74,501,276,7,4,0,7,4,96,26,"https://fbref.com/en/players/4ccd8957/Eren-Dinkci"
2025,"Freiburg","Bundesliga","Ritsu Doan","JPN","FW","26-123",1998,5.6,279,5,42,117,124,25,279,21,10,47.6,11,52.4,151,878,384,13,12,7,13,8,184,36,"https://fbref.com/en/players/d01bbb6f/Ritsu-Doan"
2025,"Freiburg","Bundesliga","Maximilian Eggestein","GER","MF","27-314",1996,5.7,284,5,56,187,46,7,284,5,2,40,3,60,150,770,279,3,4,0,2,3,174,3,"https://fbref.com/en/players/beb882a8/Maximilian-Eggestein"
2025,"Freiburg","Bundesliga","Matthias Ginter","GER","DF","30-272",1994,3.7,252,14,94,146,13,3,252,0,0,NA,0,NA,162,845,491,1,3,0,0,0,174,2,"https://fbref.com/en/players/f521b80a/Matthias-Ginter"
2025,"Freiburg","Bundesliga","Michael Gregoritsch","AUT","FW","30-182",1994,0.2,5,0,0,2,3,1,5,0,0,NA,0,NA,3,8,3,1,0,1,0,0,3,1,"https://fbref.com/en/players/8e235926/Michael-Gregoritsch"
2025,"Freiburg","Bundesliga","Vincenzo Grifo","ITA","FW,MF","31-193",1993,5.3,378,3,29,208,143,19,377,10,7,70,2,20,219,1182,670,15,10,5,11,2,262,35,"https://fbref.com/en/players/54e4866f/Vincenzo-Grifo"
2025,"Freiburg","Bundesliga","Christian Günter","GER","DF","31-232",1993,5.7,305,9,69,127,110,8,305,2,0,0,2,100,156,540,239,4,5,2,4,1,195,36,"https://fbref.com/en/players/8593f88c/Christian-Gunter"
2025,"Freiburg","Bundesliga","Nicolas Höfler","GER","MF","34-222",1990,0.8,49,4,17,28,5,0,49,1,1,100,0,0,17,70,27,0,0,0,1,0,23,0,"https://fbref.com/en/players/5d8e331f/Nicolas-Hofler"
2025,"Freiburg","Bundesliga","Lucas Höler","GER","MF,FW","30-099",1994,1.3,69,5,15,27,28,10,68,1,0,0,0,0,32,142,60,1,0,1,2,1,42,11,"https://fbref.com/en/players/ca618d23/Lucas-Holer"
2025,"Freiburg","Bundesliga","Lukas Kübler","GER","DF","32-048",1992,5.2,284,13,79,149,60,8,284,2,0,0,2,100,108,503,164,3,3,1,3,2,128,13,"https://fbref.com/en/players/2a29eb9b/Lukas-Kubler"
2025,"Freiburg","Bundesliga","Philipp Lienhart","AUT","DF","28-098",1996,5.5,458,31,195,249,15,2,458,3,1,33.3,2,66.7,279,1955,1101,11,6,0,2,0,315,0,"https://fbref.com/en/players/302527b2/Philipp-Lienhart"
2025,"Freiburg","Bundesliga","Jordy Makengo","FRA","DF","23-075",2001,0.3,21,3,10,4,7,0,21,0,0,NA,0,NA,5,48,13,1,0,0,0,0,6,2,"https://fbref.com/en/players/14b09c41/Jordy-Makengo"
2025,"Freiburg","Bundesliga","Johan Manzambi","SUI","FW","19-003",2005,0.1,6,0,1,4,1,0,6,0,0,NA,0,NA,4,24,7,0,0,0,1,0,5,1,"https://fbref.com/en/players/8fcf0e12/Johan-Manzambi"
2025,"Freiburg","Bundesliga","Florian Müller","GER","GK","26-339",1997,2,76,54,73,3,0,0,76,0,0,NA,0,NA,45,270,163,0,0,0,0,0,37,0,"https://fbref.com/en/players/cbac6ec9/Florian-Muller"
2025,"Freiburg","Bundesliga","Florent Muslija","KVX","FW,DF","26-103",1998,0.9,56,2,13,16,27,2,56,3,2,66.7,1,33.3,35,189,96,3,4,1,3,0,38,8,"https://fbref.com/en/players/ae961785/Florent-Muslija"
2025,"Freiburg","Bundesliga","Ifechukwu Ogbus","SUI","DF","18-305",2005,0.2,15,1,7,4,4,0,15,0,0,NA,0,NA,4,8,2,0,0,0,1,0,3,0,"https://fbref.com/en/players/d41472b7/Ifechukwu-Ogbus"
2025,"Freiburg","Bundesliga","Patrick Osterhage","GER","MF","24-259",2000,4.9,247,6,55,145,47,10,247,7,4,57.1,2,28.6,117,522,245,3,4,0,10,1,155,9,"https://fbref.com/en/players/9662c9ec/Patrick-Osterhage"
2025,"Freiburg","Bundesliga","Merlin Röhl","GER","MF","22-104",2002,1.8,62,0,6,33,24,4,62,3,2,66.7,1,33.3,35,290,147,5,3,2,8,3,43,9,"https://fbref.com/en/players/1f2c7b55/Merlin-Rohl"
2025,"Freiburg","Bundesliga","Max Rosenfelder","GER","DF","21-250",2003,3.3,161,25,88,69,6,1,161,3,2,66.7,1,33.3,87,554,330,4,3,1,1,0,103,1,"https://fbref.com/en/players/b6ceba6b/Max-Rosenfelder"
2025,"Freiburg","Bundesliga","Roland Sallai","HUN","FW,MF","27-148",1997,0.5,25,0,3,7,15,2,25,1,0,0,1,100,16,173,88,4,1,2,1,1,18,2,"https://fbref.com/en/players/bf075f6b/Roland-Sallai"
2025,"Freiburg","Bundesliga","Kiliann Sildillia","FRA","FW","22-154",2002,0,3,0,0,3,0,0,3,0,0,NA,0,NA,1,9,9,0,0,0,1,0,0,0,"https://fbref.com/en/players/313254a3/Kiliann-Sildillia"
2025,"Freiburg","Bundesliga","Noah Weißhaupt","GER","FW","23-027",2001,0.6,51,1,4,16,31,5,51,4,1,25,2,50,43,343,199,8,7,4,3,0,45,8,"https://fbref.com/en/players/dd676a97/Noah-Weisshaupt"
2025,"Fulham","Premier League","Joachim Andersen","DEN","DF","28-139",1996,4,317,45,168,139,13,5,317,0,0,NA,0,NA,188,749,415,3,2,0,0,0,209,0,"https://fbref.com/en/players/e34fc66d/Joachim-Andersen"
2025,"Fulham","Premier League","Calvin Bassey","NGA","DF","24-291",1999,7,472,78,257,206,12,4,472,8,3,37.5,2,25,316,1412,826,6,2,0,7,3,328,1,"https://fbref.com/en/players/a36524bf/Calvin-Bassey"
2025,"Fulham","Premier League","Sander Berge","NOR","MF","26-246",1998,1.9,99,10,35,48,16,2,99,1,0,0,1,100,48,224,95,0,2,1,2,0,49,0,"https://fbref.com/en/players/d0b6129f/Sander-Berge"
2025,"Fulham","Premier League","Tom Cairney","SCO","MF","33-271",1991,1.1,89,2,15,46,29,2,89,4,2,50,1,25,61,323,153,3,3,1,0,0,69,4,"https://fbref.com/en/players/a8748947/Tom-Cairney"
2025,"Fulham","Premier League","Timothy Castagne","BEL","DF","28-317",1995,0.2,15,0,8,4,3,0,15,0,0,NA,0,NA,7,18,12,0,0,0,0,0,8,2,"https://fbref.com/en/players/197640fd/Timothy-Castagne"
2025,"Fulham","Premier League","Issa Diop","FRA","DF","27-282",1997,3.1,173,19,89,80,4,4,173,0,0,NA,0,NA,97,430,216,0,0,0,2,1,111,1,"https://fbref.com/en/players/a712ca2b/Issa-Diop"
2025,"Fulham","Premier League","Alex Iwobi","NGA","FW,DF","28-167",1996,6.5,336,9,50,108,182,23,336,22,8,36.4,13,59.1,245,1267,705,22,21,5,12,8,249,53,"https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi"
2025,"Fulham","Premier League","Raúl Jiménez","MEX","FW","33-165",1991,3.8,114,5,13,46,57,25,113,3,0,0,2,66.7,72,265,119,4,2,1,12,5,82,14,"https://fbref.com/en/players/b561db50/Raul-Jimenez"
2025,"Fulham","Premier League","Bernd Leno","GER","GK","32-227",1992,7,265,209,264,1,0,0,265,0,0,NA,0,NA,175,580,301,0,0,0,0,0,151,0,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
2025,"Fulham","Premier League","Saša Lukić","SRB","MF","28-065",1996,6.1,353,11,83,222,50,1,353,3,1,33.3,2,66.7,211,1111,488,4,11,2,4,1,221,1,"https://fbref.com/en/players/c6e8cf1f/Sasa-Lukic"
2025,"Fulham","Premier League","Rodrigo Muniz","BRA","FW","23-166",2001,3.2,74,5,7,32,36,18,74,6,2,33.3,3,50,43,199,67,2,1,1,5,6,61,12,"https://fbref.com/en/players/a755db8c/Rodrigo-Muniz"
2025,"Fulham","Premier League","Reiss Nelson","ENG","FW,MF","24-312",1999,0.9,51,1,8,12,32,10,51,5,2,40,0,0,38,364,239,11,4,5,3,2,37,10,"https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson"
2025,"Fulham","Premier League","Andreas Pereira","BRA","MF","28-290",1996,6,334,3,36,140,161,8,334,10,4,40,3,30,175,754,333,4,13,0,8,3,206,22,"https://fbref.com/en/players/6639e500/Andreas-Pereira"
2025,"Fulham","Premier League","Harrison Reed","ENG","MF","29-264",1995,0.5,39,0,6,13,21,3,39,1,0,0,0,0,16,63,16,1,1,0,2,1,14,6,"https://fbref.com/en/players/803ae100/Harrison-Reed"
2025,"Fulham","Premier League","Antonee Robinson","USA","DF","27-070",1997,7,403,31,136,149,123,8,403,16,8,50,7,43.8,214,970,545,15,11,2,12,5,226,42,"https://fbref.com/en/players/289601e6/Antonee-Robinson"
2025,"Fulham","Premier League","Emile Smith Rowe","ENG","MF","24-081",2000,5.2,300,9,39,144,120,17,300,8,1,12.5,5,62.5,204,1161,643,15,11,4,7,4,237,28,"https://fbref.com/en/players/17695062/Emile-Smith-Rowe"
2025,"Fulham","Premier League","Jay Stansfield","ENG","MF","21-328",2002,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b2626673/Jay-Stansfield"
2025,"Fulham","Premier League","Kenny Tete","NED","DF","29-008",1995,6.8,408,22,118,172,120,17,408,9,4,44.4,2,22.2,214,1033,568,18,11,6,9,4,233,16,"https://fbref.com/en/players/77d7c96f/Kenny-Tete"
2025,"Fulham","Premier League","Adama Traoré","ESP","FW,MF","28-266",1996,6.2,259,1,22,98,147,30,259,39,21,53.8,13,33.3,190,1530,879,34,14,15,11,3,206,43,"https://fbref.com/en/players/9a28eba4/Adama-Traore"
2025,"Fulham","Premier League","Harry Wilson","WAL","FW","27-209",1997,0.4,24,0,4,11,10,6,24,0,0,NA,0,NA,14,76,21,2,1,3,5,0,17,6,"https://fbref.com/en/players/c6dc9ecd/Harry-Wilson"
2025,"Genoa","Serie A","Federico Accornero","ITA","MF","20-255",2004,0.1,8,1,2,3,3,0,8,0,0,NA,0,NA,5,25,18,0,1,0,2,0,5,0,"https://fbref.com/en/players/83763653/Federico-Accornero"
2025,"Genoa","Serie A","Honest Ahanor","ITA","DF","16-237",2008,0.8,16,1,4,4,8,0,16,1,0,0,0,0,10,80,24,1,0,0,1,1,8,2,"https://fbref.com/en/players/42ff58c3/Honest-Ahanor"
2025,"Genoa","Serie A","David Akpan Ankeye","NGA","FW","22-246",2002,0.3,6,0,1,3,2,0,6,0,0,NA,0,NA,3,13,8,0,0,0,0,1,7,2,"https://fbref.com/en/players/8c4b95af/David-Akpan-Ankeye"
2025,"Genoa","Serie A","Milan Badelj","CRO","MF","35-235",1989,4.4,247,10,59,158,32,4,247,3,2,66.7,0,0,131,412,157,3,2,1,4,2,168,5,"https://fbref.com/en/players/e8c930bb/Milan-Badelj"
2025,"Genoa","Serie A","Mattia Bani","ITA","DF","30-312",1993,4,185,24,115,68,4,3,185,1,1,100,0,0,97,502,242,3,1,0,0,0,119,1,"https://fbref.com/en/players/0821331c/Mattia-Bani"
2025,"Genoa","Serie A","Emil Bohinen","NOR","MF","25-219",1999,1.8,109,12,30,52,28,3,109,0,0,NA,0,NA,51,463,224,6,3,0,4,2,72,2,"https://fbref.com/en/players/c83c203f/Emil-Bohinen"
2025,"Genoa","Serie A","Koni De Winter","BEL","DF","22-127",2002,7,413,45,191,187,39,18,413,2,1,50,1,50,204,1204,631,3,2,0,4,3,257,7,"https://fbref.com/en/players/f4797849/Koni-De-Winter"
2025,"Genoa","Serie A","Jeff Ekhator","ITA","FW,MF","17-341",2006,0.7,26,1,1,11,15,3,26,0,0,NA,0,NA,15,70,37,1,1,1,4,0,22,9,"https://fbref.com/en/players/faf739d2/Jeff-Ekhator"
2025,"Genoa","Serie A","Caleb Ekuban","GHA","FW","30-208",1994,2.3,51,2,6,17,29,8,51,4,2,50,2,50,31,126,64,1,1,0,6,6,35,11,"https://fbref.com/en/players/7afbd2c3/Caleb-Ekuban"
2025,"Genoa","Serie A","Morten Frendrup","DEN","MF","23-193",2001,5.8,248,11,62,142,47,1,248,5,3,60,2,40,119,513,218,2,3,0,5,4,138,5,"https://fbref.com/en/players/f4d60499/Morten-Frendrup"
2025,"Genoa","Serie A","Pierluigi Gollini","ITA","GK","29-213",1995,7,269,220,268,1,0,0,269,0,0,NA,0,NA,131,705,467,0,0,0,0,0,140,0,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2025,"Genoa","Serie A","Lior Kasa","ISR","MF","19-020",2005,0.2,11,0,0,5,6,0,11,1,0,0,0,0,8,36,15,0,0,0,0,1,8,0,"https://fbref.com/en/players/7987ef17/Lior-Kasa"
2025,"Genoa","Serie A","Ruslan Malinovskyi","UKR","MF,FW","31-166",1993,2.5,144,5,34,83,27,0,144,2,1,50,1,50,78,394,151,1,5,0,2,2,82,6,"https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi"
2025,"Genoa","Serie A","Aarón Martín","ESP","DF","27-178",1997,5.9,300,17,66,137,101,3,300,3,1,33.3,1,33.3,141,947,481,15,7,0,2,2,161,21,"https://fbref.com/en/players/2f3e911a/Aaron-Martin"
2025,"Genoa","Serie A","Alan Matturro","URU","DF","20-006",2004,0.2,6,0,1,2,3,1,6,0,0,NA,0,NA,4,26,10,0,0,0,0,1,4,1,"https://fbref.com/en/players/547c0119/Alan-Matturro"
2025,"Genoa","Serie A","Filippo Melegoni","ITA","MF","25-242",1999,0.3,8,0,3,4,1,0,8,1,0,0,1,100,5,29,12,0,1,0,0,0,6,1,"https://fbref.com/en/players/6604165d/Filippo-Melegoni"
2025,"Genoa","Serie A","Junior Messias","BRA","MF,FW","33-157",1991,2.9,98,4,16,48,38,7,97,10,3,30,6,60,53,327,189,8,10,1,6,4,58,16,"https://fbref.com/en/players/f49c4ae9/Junior-Messias"
2025,"Genoa","Serie A","Fabio Miretti","ITA","MF","21-075",2003,1.5,55,1,13,26,18,0,55,2,0,0,1,50,26,121,25,0,2,0,2,4,32,2,"https://fbref.com/en/players/34693494/Fabio-Miretti"
2025,"Genoa","Serie A","Brooke Norton-Cuffy","ENG","DF","20-279",2004,0.1,3,0,0,3,0,0,3,0,0,NA,0,NA,1,8,0,0,0,0,0,0,1,0,"https://fbref.com/en/players/54f5b2bd/Brooke-Norton-Cuffy"
2025,"Genoa","Serie A","Andrea Pinamonti","ITA","FW,MF","25-151",1999,4.9,100,4,7,47,46,16,100,1,0,0,1,100,43,134,28,1,0,1,8,3,70,9,"https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti"
2025,"Genoa","Serie A","Stefano Sabelli","ITA","DF","31-278",1993,3.3,148,3,29,62,57,3,148,4,0,0,3,75,58,282,133,6,1,0,4,2,76,13,"https://fbref.com/en/players/0ccac09c/Stefano-Sabelli"
2025,"Genoa","Serie A","Morten Thorsby","NOR","MF,DF","28-165",1996,2.5,70,3,21,28,21,8,70,0,0,NA,0,NA,29,110,45,1,1,1,3,5,47,10,"https://fbref.com/en/players/d1b49282/Morten-Thorsby"
2025,"Genoa","Serie A","Johan Vásquez","MEX","DF","25-361",1998,6.3,386,51,188,168,32,6,386,1,0,0,1,100,194,1175,596,8,9,1,2,2,232,7,"https://fbref.com/en/players/5eaed77a/Johan-Vasquez"
2025,"Genoa","Serie A","Vitinha","POR","FW","24-216",2000,5.5,188,6,26,79,92,16,188,26,11,42.3,14,53.8,106,754,381,10,9,4,21,16,122,33,"https://fbref.com/en/players/74d4cec6/Vitinha"
2025,"Genoa","Serie A","Alessandro Vogliacco","ITA","DF","26-033",1998,3.2,165,15,71,82,12,3,165,0,0,NA,0,NA,87,433,229,3,5,0,1,1,109,1,"https://fbref.com/en/players/6841f107/Alessandro-Vogliacco"
2025,"Genoa","Serie A","Alessandro Zanoli","ITA","DF","24-014",2000,3.4,122,11,41,51,30,1,122,4,1,25,2,50,59,550,361,12,11,1,6,0,73,6,"https://fbref.com/en/players/3b12b11f/Alessandro-Zanoli"
2025,"Getafe","La Liga","Nabil Aberdin","FRA","MF","22-055",2002,2.6,75,6,18,48,9,2,75,3,2,66.7,1,33.3,31,130,64,2,0,0,1,0,29,2,"https://fbref.com/en/players/cadfa7d1/Nabil-Aberdin"
2025,"Getafe","La Liga","Omar Alderete","PAR","DF","27-296",1996,8,378,50,178,163,39,16,378,7,3,42.9,4,57.1,133,914,519,7,6,1,5,2,130,0,"https://fbref.com/en/players/bb08bce9/Omar-Alderete"
2025,"Getafe","La Liga","Carles Aleñá","ESP","MF,FW","26-286",1998,3.4,112,2,17,60,38,8,112,4,3,75,1,25,59,318,126,2,2,0,3,3,64,7,"https://fbref.com/en/players/6c811eb7/Carles-Alena"
2025,"Getafe","La Liga","Mauro Arambarri","URU","MF,FW","29-017",1995,5.2,197,10,43,113,42,13,197,6,2,33.3,4,66.7,80,323,134,2,0,0,12,5,93,6,"https://fbref.com/en/players/58afe001/Mauro-Arambarri"
2025,"Getafe","La Liga","Juan Berrocal","ESP","DF","25-166",1999,4.9,175,21,98,73,4,4,175,0,0,NA,0,NA,57,251,146,1,0,0,1,0,52,0,"https://fbref.com/en/players/377ef3a6/Juan-Berrocal"
2025,"Getafe","La Liga","Djené","TOG","DF","32-291",1991,8.2,314,33,140,139,41,8,314,6,2,33.3,2,33.3,115,598,317,5,2,0,2,1,111,3,"https://fbref.com/en/players/a4971d84/Djene"
2025,"Getafe","La Liga","Peter Federico","DOM","MF,FW","22-084",2002,1.5,50,1,8,20,23,3,50,3,0,0,3,100,19,104,19,1,0,1,4,2,27,6,"https://fbref.com/en/players/1ccd3dae/Peter-Federico"
2025,"Getafe","La Liga","Iglesias","ESP","DF","26-106",1998,7.7,408,24,118,193,103,5,408,9,5,55.6,4,44.4,129,612,274,6,7,2,5,3,122,17,"https://fbref.com/en/players/974322dc/Iglesias"
2025,"Getafe","La Liga","John Joe","IRL","FW,MF","20-359",2003,0.1,11,1,4,4,3,0,11,1,1,100,0,0,5,25,11,0,0,0,0,1,5,1,"https://fbref.com/en/players/fd01216a/John-Joe"
2025,"Getafe","La Liga","Abdoulaye Keita","ESP","MF","22-046",2002,0.3,9,0,4,5,0,0,9,0,0,NA,0,NA,1,1,0,0,0,0,1,0,2,0,"https://fbref.com/en/players/154b6735/Abdoulaye-Keita"
2025,"Getafe","La Liga","Borja Mayoral","ESP","FW","27-195",1997,1.4,55,1,3,26,28,7,54,3,3,100,0,0,32,115,33,0,1,1,4,4,37,7,"https://fbref.com/en/players/64e8ed6d/Borja-Mayoral"
2025,"Getafe","La Liga","Luis Milla","ESP","MF","30-010",1994,8.8,453,13,58,263,138,4,452,9,5,55.6,3,33.3,187,994,581,12,14,0,16,8,200,7,"https://fbref.com/en/players/19c36442/Luis-Milla"
2025,"Getafe","La Liga","Carles Pérez","ESP","MF,FW","26-244",1998,6.7,213,6,22,72,123,19,213,27,11,40.7,16,59.3,116,915,392,11,18,7,12,11,128,28,"https://fbref.com/en/players/a8f21b9f/Carles-Perez"
2025,"Getafe","La Liga","Diego Rico","ESP","DF","31-237",1993,8,472,15,134,199,145,5,472,5,3,60,2,40,155,689,394,9,7,2,14,5,162,31,"https://fbref.com/en/players/d9ba39fc/Diego-Rico"
2025,"Getafe","La Liga","Alberto Risco","ESP","MF,FW","19-048",2005,0.8,57,0,7,17,34,5,57,6,1,16.7,5,83.3,32,153,79,3,3,2,5,4,33,6,"https://fbref.com/en/players/36286814/Alberto-Risco"
2025,"Getafe","La Liga","Gorka Rivera Alonso","ESP","DF,MF","20-077",2004,0.2,17,0,7,8,2,0,17,2,0,0,1,50,5,23,5,0,0,0,2,0,5,0,"https://fbref.com/en/players/f1124008/Gorka-Rivera-Alonso"
2025,"Getafe","La Liga","Álvaro Rodríguez","URU","FW","20-095",2004,0.2,13,0,0,7,7,3,13,1,1,100,0,0,7,24,2,0,1,0,0,1,12,0,"https://fbref.com/en/players/49a6ecbb/Alvaro-Rodriguez"
2025,"Getafe","La Liga","Jesús Santiago","ESP","MF","20-145",2004,1.9,69,3,17,34,18,3,69,3,0,0,3,100,26,93,22,1,0,0,4,0,25,3,"https://fbref.com/en/players/bc49fd34/Jesus-Santiago"
2025,"Getafe","La Liga","Alex Sola","ESP","MF,FW","25-130",1999,6.9,244,6,46,84,119,19,244,37,12,32.4,21,56.8,146,822,326,13,4,7,39,11,155,25,"https://fbref.com/en/players/5fa714d5/Alex-Sola"
