"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url","Att (GK)_Passes"
2025,"Bochum","Bundesliga","Patrick Drewes","GER","GK","31-256",1993,6,14,1,0,1,0,13.7,0.36,-0.3,-0.06,79,169,46.7,NA,19,56.6,38.6,56,87.5,56.7,107,6,5.6,11,1.83,14.5,"https://fbref.com/en/players/a8403737/Patrick-Drewes",212
2025,"Bologna","Serie A","Federico Ravaglia","ITA","GK","24-341",1999,2,1,0,0,0,0,1,0.2,0,-0.01,5,14,35.7,NA,8,21.6,28,9,33.3,35.4,19,3,15.8,1,0.5,12,"https://fbref.com/en/players/6662d731/Federico-Ravaglia",51
2025,"Bologna","Serie A","Łukasz Skorupski","POL","GK","33-165",1991,5,8,0,0,1,1,7.1,0.36,0.1,0.01,15,41,36.6,NA,24,20.3,29.8,27,33.3,36.3,58,4,6.9,6,1.2,12.7,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski",158
2025,"Bournemouth","Premier League","Kepa Arrizabalaga","ESP","GK","30-014",1994,4,7,0,0,0,0,7.4,0.3,0.4,0.11,16,31,51.6,NA,17,22.2,29.6,25,36,32.8,39,3,7.7,6,1.5,13.1,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga",99
2025,"Bournemouth","Premier League","Neto","BRA","GK","35-090",1989,2,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,NA,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6,"https://fbref.com/en/players/a9dc785c/Neto",46
2025,"Bournemouth","Premier League","Mark Travers","IRL","GK","25-152",1999,1,1,0,0,0,0,1.2,0.4,0.2,0.19,6,12,50,NA,3,62.5,40.3,2,100,68,6,0,0,2,2,16,"https://fbref.com/en/players/fe558029/Mark-Travers",16
2025,"Brentford","Premier League","Mark Flekken","NED","GK","31-126",1993,7,13,0,0,0,1,11.1,0.25,-0.9,-0.13,62,130,47.7,NA,23,32.3,34.2,31,58.1,47.8,94,6,6.4,10,1.43,14.2,"https://fbref.com/en/players/a92ab7be/Mark-Flekken",347
2025,"Brest","Ligue 1","Marco Bizot","NED","GK","33-221",1991,7,13,3,0,0,1,9.1,0.23,-2.9,-0.41,54,136,39.7,NA,20,47.2,37.9,55,76.4,55.5,107,6,5.6,2,0.29,9.8,"https://fbref.com/en/players/3d214e5f/Marco-Bizot",199
2025,"Brighton","Premier League","Jason Steele","ENG","GK","34-060",1990,2,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,NA,7,13.6,25.1,2,50,43,22,2,9.1,3,1.5,15.4,"https://fbref.com/en/players/28300a16/Jason-Steele",110
2025,"Brighton","Premier League","Bart Verbruggen","NED","GK","22-060",2002,5,9,2,1,0,0,8.5,0.34,-0.5,-0.1,17,41,41.5,NA,24,20.9,26.6,8,37.5,35.1,33,2,6.1,11,2.2,18,"https://fbref.com/en/players/cf134113/Bart-Verbruggen",182
